sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
1, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
2, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
3, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
4, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
5, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
6, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
7, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
8, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
9, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
10, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
11, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
12, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
13, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
14, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
15, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
16, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
17, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
18, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
19, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
20, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
21, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
22, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
23, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
24, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
25, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
26, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
27, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
28, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
29, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
30, 32689, 0, 32689, 0, 0, 0, 0, 0, 0, 0
31, 32688, 1, 32689, 0, 0, 0, 0, 0, 0, 0
32, 32688, 1, 32689, 0, 0, 0, 0, 0, 0, 0
33, 32688, 1, 32689, 0, 0, 0, 0, 0, 0, 0
34, 32687, 2, 32689, 0, 0, 0, 0, 0, 0, 0
35, 32686, 2, 32689, 0, 0, 0, 1, 0, 0, 0
36, 32685, 3, 32689, 0, 1, 0, 1, 0, 0, 0
37, 32683, 5, 32689, 0, 1, 0, 1, 0, 0, 0
38, 32681, 6, 32689, 0, 1, 0, 2, 0, 0, 0
39, 32679, 8, 32689, 0, 2, 0, 2, 0, 0, 0
40, 32676, 10, 32689, 0, 2, 0, 3, 1, 0, 0
41, 32673, 13, 32689, 0, 3, 0, 3, 1, 0, 0
42, 32670, 15, 32689, 0, 4, 0, 3, 1, 0, 0
43, 32666, 18, 32689, 0, 5, 0, 4, 1, 0, 0
44, 32661, 21, 32689, 0, 7, 0, 5, 2, 0, 0
45, 32655, 25, 32689, 0, 9, 0, 6, 2, 0, 0
46, 32647, 31, 32689, 0, 11, 0, 7, 2, 0, 0
47, 32638, 37, 32689, 0, 13, 0, 9, 3, 0, 0
48, 32628, 44, 32689, 0, 16, 1, 10, 3, 0, 0
49, 32616, 52, 32689, 0, 20, 1, 12, 4, 0, 0
50, 32601, 63, 32689, 0, 24, 2, 15, 5, 1, 0
51, 32583, 75, 32689, 0, 28, 2, 17, 6, 1, 0
52, 32563, 89, 32689, 0, 34, 4, 20, 7, 1, 0
53, 32545, 99, 32689, 0, 40, 5, 18, 8, 1, 0
54, 32525, 109, 32689, 0, 48, 7, 20, 9, 2, 0
55, 32502, 122, 32689, 0, 56, 9, 23, 11, 3, 0
56, 32475, 137, 32689, 0, 64, 13, 27, 12, 4, 0
57, 32444, 155, 32689, 0, 73, 17, 30, 13, 4, 0
58, 32409, 175, 32689, 0, 82, 22, 35, 14, 5, 0
59, 32370, 198, 32689, 0, 93, 28, 39, 16, 6, 0
60, 32328, 222, 32689, 0, 105, 34, 42, 18, 6, 0
61, 32282, 247, 32689, 0, 119, 42, 47, 21, 7, 0
62, 32229, 277, 32689, 0, 134, 50, 53, 24, 8, 0
63, 32170, 309, 32689, 0, 151, 59, 59, 27, 9, 0
64, 32104, 345, 32689, 0, 171, 70, 66, 30, 11, 0
65, 32038, 377, 32689, 0, 192, 82, 66, 34, 12, 0
