sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
1, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
2, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
3, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
4, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
5, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
6, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
7, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
8, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
9, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
10, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
11, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
12, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
13, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
14, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
15, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
16, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
17, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
18, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
19, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
20, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
21, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
22, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
23, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
24, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
25, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
26, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
27, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
28, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
29, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
30, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
31, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
32, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
33, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
34, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
35, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
36, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
37, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
38, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
39, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
40, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
41, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
42, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
43, 114434, 0, 114434, 0, 0, 0, 0, 0, 0, 0
44, 114433, 1, 114434, 0, 0, 0, 1, 0, 0, 0
45, 114432, 2, 114434, 0, 0, 0, 1, 0, 0, 0
46, 114431, 3, 114434, 0, 0, 0, 1, 0, 0, 0
47, 114429, 5, 114434, 0, 0, 0, 1, 0, 0, 0
48, 114427, 7, 114434, 0, 0, 0, 2, 0, 0, 0
49, 114424, 9, 114434, 0, 1, 0, 2, 1, 0, 0
50, 114419, 13, 114434, 0, 2, 0, 3, 1, 0, 0
51, 114412, 18, 114434, 0, 3, 0, 6, 1, 0, 0
52, 114404, 25, 114434, 0, 5, 0, 7, 1, 0, 0
53, 114394, 33, 114434, 0, 7, 0, 8, 2, 0, 0
54, 114383, 42, 114434, 0, 9, 0, 11, 2, 0, 0
