time,susceptible,exposed,infected,vaccinatedD1,vaccinatedD2,recovered,new_exposed,new_infected,new_recovered,deaths,error
0,0.9997805710077571,0.00021942899224291752,0.08640685560394887,0.10800830190860408,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.9997805710077571,0.00021193629494681792,0.08640685560394887,0.10800830190860408,7.492697296099623e-06,0.0,0.0,7.492697296099623e-06,0.0,0.0,1.0
2,0.9997548817598847,0.00021086590961880367,0.08640685560394887,0.10800830190860408,3.318194516844119e-05,1.070385328014232e-06,2.5689247872341563e-05,2.5689247872341563e-05,1.070385328014232e-06,0.0,1.0
3,0.9996371393738032,0.0002964967358599422,0.08640685560394887,0.10800830190860408,6.315273435283968e-05,3.2111559840426954e-06,0.00011667200075355127,3.318194516844119e-05,2.140770656028464e-06,0.0,1.0
4,0.9994123584549202,0.0004945180215425751,0.08640685560394887,0.10800830190860408,8.670121156915278e-05,7.492697296099623e-06,0.000221569762898946,2.7830018528370027e-05,4.281541312056928e-06,0.0,1.000001070385328
5,0.9991169321043882,0.0007631847388741473,0.08640685560394887,0.10800830190860408,0.00010382737681738049,1.2844623936170782e-05,0.00029756712118795647,2.35484772163131e-05,6.422311968085391e-06,1.070385328014232e-06,0.9999978592293439
6,0.9987808311113918,0.001061822245390118,0.08640685560394887,0.10800830190860408,0.00013379816600177897,2.0337321232270403e-05,0.0003361009929964688,3.532271582446965e-05,6.422311968085391e-06,1.070385328014232e-06,0.999997859229344
7,0.998419040870523,0.0013604597519060887,0.08640685560394887,0.10800830190860408,0.0001883878177305048,2.997078918439849e-05,0.0003639310115248388,6.315273435283968e-05,9.633467952128086e-06,2.140770656028464e-06,1.0
8,0.9980229982991577,0.0016537453317819883,0.08640685560394887,0.10800830190860408,0.00027722979995568604,4.174502779255504e-05,0.00039176103005320886,9.954583550532356e-05,1.177423860815655e-05,3.2111559840426954e-06,0.999998929614672
9,0.9975852107,0.0019502420676419305,0.08640685560394887,0.10800830190860408,0.0003928314153812231,5.994157836879698e-05,0.0004356468285017924,0.0001380797073138359,1.8196550576241943e-05,4.281541312056928e-06,0.999992507302704
10,0.9970778480545212,0.0022863430606383994,0.08640685560394887,0.10800830190860408,0.0005351926640071159,8.884198222518125e-05,0.0004923772508865467,0.00016912088182624864,2.5689247872341563e-05,5.351926640071159e-06,0.9999935776880319
11,0.9965019807480495,0.00266847062273948,0.08640685560394887,0.10800830190860408,0.0006957504632092507,0.0001252350833776651,0.000563022682535486,0.0001980212856826329,3.532271582446965e-05,8.563082624113856e-06,1.0
12,0.9958501160832888,0.003096624753945173,0.08640685560394887,0.10800830190860408,0.000868082501019542,0.0001744728084663198,0.000646512738120596,0.0002258513042110029,4.70969544326262e-05,1.177423860815655e-05,1.000001070385328
13,0.9951072686656469,0.0034958784812944813,0.08640685560394887,0.10800830190860408,0.0011346084476950857,0.00023976631347518793,0.0007300027937057061,0.0003307490663563976,6.101196369681122e-05,1.4985394592199245e-05,0.999992507302704
