sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
3, 0.99999, 1e-05, 1.0, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0
4, 0.99997, 3e-05, 1.0, 0.0, 0.0, 0.0, 2e-05, 0.0, 0.0, 0.0
5, 0.99995, 5e-05, 1.0, 0.0, 0.0, 0.0, 2e-05, 0.0, 0.0, 0.0
6, 0.99992, 8e-05, 1.0, 0.0, 0.0, 0.0, 3e-05, 0.0, 0.0, 0.0
7, 0.99989, 0.00011, 1.0, 0.0, 0.0, 0.0, 3e-05, 0.0, 0.0, 0.0
8, 0.99984, 0.00015, 1.0, 0.0, 1e-05, 0.0, 4e-05, 1e-05, 0.0, 0.0
9, 0.99978, 0.0002, 1.0, 0.0, 2e-05, 0.0, 5e-05, 1e-05, 0.0, 0.0
10, 0.9997, 0.00026, 1.0, 0.0, 4e-05, 0.0, 7e-05, 2e-05, 0.0, 0.0
11, 0.9996, 0.00034, 1.0, 0.0, 6e-05, 0.0, 9e-05, 2e-05, 0.0, 0.0
12, 0.99948, 0.00043, 1.0, 0.0, 9e-05, 0.0, 0.00011, 3e-05, 0.0, 0.0
13, 0.99933, 0.00055, 1.0, 0.0, 0.00012, 0.0, 0.00015, 3e-05, 0.0, 0.0
14, 0.99913, 0.00071, 1.0, 0.0, 0.00016, 0.0, 0.00019, 4e-05, 0.0, 0.0
15, 0.99889, 0.0009, 1.0, 0.0, 0.00021, 0.0, 0.00023, 5e-05, 0.0, 0.0
16, 0.99862, 0.0011, 1.0, 0.0, 0.00028, 0.0, 0.00027, 7e-05, 0.0, 0.0
17, 0.99833, 0.0013, 1.0, 0.0, 0.00037, 0.0, 0.00028, 9e-05, 0.0, 0.0
18, 0.99799, 0.00152, 1.0, 0.0, 0.00049, 0.0, 0.00035, 0.00012, 0.0, 0.0
