sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 712402, 0, 712402, 0, 0, 0, 0, 0, 0, 0
1, 712402, 0, 712402, 0, 0, 0, 0, 0, 0, 0
2, 712402, 0, 712402, 0, 0, 0, 0, 0, 0, 0
3, 712395, 7, 712402, 0, 0, 0, 7, 0, 0, 0
4, 712381, 21, 712402, 0, 0, 0, 14, 0, 0, 0
5, 712366, 36, 712402, 0, 0, 0, 14, 0, 0, 0
6, 712345, 57, 712402, 0, 0, 0, 21, 0, 0, 0
7, 712324, 78, 712402, 0, 0, 0, 21, 0, 0, 0
8, 712288, 107, 712402, 0, 7, 0, 28, 7, 0, 0
9, 712245, 142, 712402, 0, 14, 0, 36, 7, 0, 0
10, 712188, 185, 712402, 0, 28, 0, 50, 14, 0, 0
11, 712117, 242, 712402, 0, 43, 0, 64, 14, 0, 0
12, 712032, 306, 712402, 0, 64, 0, 78, 21, 0, 0
13, 711925, 392, 712402, 0, 85, 0, 107, 21, 0, 0
14, 711782, 506, 712402, 0, 114, 0, 135, 28, 0, 0
15, 711611, 641, 712402, 0, 150, 0, 164, 36, 0, 0
16, 711419, 784, 712402, 0, 199, 0, 192, 50, 0, 0
17, 711212, 926, 712402, 0, 264, 0, 199, 64, 0, 0
18, 710970, 1083, 712402, 0, 349, 0, 249, 85, 0, 0
19, 710649, 1304, 712402, 0, 449, 0, 313, 100, 0, 0
20, 710265, 1574, 712402, 0, 549, 14, 385, 114, 14, 0
21, 709802, 1902, 712402, 0, 663, 36, 456, 135, 21, 0
22, 709246, 2294, 712402, 0, 798, 64, 541, 164, 28, 0
23, 708733, 2615, 712402, 0, 955, 100, 499, 192, 36, 0
24, 708170, 2942, 712402, 0, 1140, 150, 563, 235, 50, 0
25, 707522, 3313, 712402, 0, 1354, 214, 655, 278, 64, 0
26, 706760, 3761, 712402, 0, 1596, 285, 755, 313, 71, 0
27, 705919, 4253, 712402, 0, 1852, 378, 834, 349, 93, 0
28, 704957, 4823, 712402, 0, 2116, 506, 962, 392, 128, 0
29, 703875, 5457, 712402, 0, 2422, 648, 1090, 449, 142, 0
30, 702635, 6184, 712402, 0, 2771, 812, 1240, 513, 164, 0
31, 701224, 7024, 712402, 0, 3149, 1004, 1403, 570, 192, 0
32, 699657, 7943, 712402, 0, 3598, 1204, 1574, 648, 199, 0
33, 698133, 8720, 712402, 0, 4103, 1446, 1525, 748, 242, 0
34, 696409, 9582, 712402, 0, 4666, 1738, 1717, 862, 292, 7
35, 694457, 10565, 712402, 0, 5300, 2059, 1931, 969, 321, 21
36, 692277, 11676, 712402, 0, 5970, 2436, 2173, 1069, 378, 43
37, 689854, 12966, 712402, 0, 6654, 2864, 2422, 1133, 427, 64
38, 687169, 14412, 712402, 0, 7380, 3348, 2679, 1240, 484, 93
39, 684561, 15637, 712402, 0, 8171, 3911, 2615, 1382, 563, 121
40, 681676, 16969, 712402, 0, 9090, 4510, 2871, 1553, 598, 157
41, 678527, 18416, 712402, 0, 10073, 5186, 3163, 1703, 677, 199
42, 675065, 20026, 712402, 0, 11135, 5934, 3469, 1852, 748, 242
43, 671289, 21778, 712402, 0, 12275, 6768, 3769, 2023, 834, 292
44, 667164, 23716, 712402, 0, 13472, 7708, 4125, 2187, 940, 342
45, 662919, 25561, 712402, 0, 14775, 8741, 4246, 2401, 1033, 406
46, 658281, 27570, 712402, 0, 16172, 9902, 4631, 2629, 1161, 477
47, 653251, 29814, 712402, 0, 17611, 11170, 5030, 2785, 1268, 556
48, 647816, 32215, 712402, 0, 19156, 12574, 5429, 3035, 1403, 641
49, 641960, 34787, 712402, 0, 20852, 14063, 5849, 3284, 1489, 741
50, 635669, 37508, 712402, 0, 22690, 15694, 6291, 3569, 1631, 841
51, 629913, 39382, 712402, 0, 24663, 17482, 5763, 3883, 1788, 962
52, 623729, 41369, 712402, 0, 26779, 19434, 6184, 4203, 1952, 1090
53, 617132, 43571, 712402, 0, 28909, 21564, 6611, 4403, 2130, 1225
54, 610101, 45971, 712402, 0, 31068, 23887, 7046, 4638, 2322, 1375
55, 602628, 48586, 712402, 0, 33234, 26423, 7480, 4866, 2536, 1532
56, 594735, 51350, 712402, 0, 35470, 29151, 7908, 5136, 2728, 1696
57, 586399, 54257, 712402, 0, 37779, 32094, 8335, 5436, 2942, 1874
58, 577651, 57220, 712402, 0, 40187, 35278, 8763, 5792, 3184, 2066
59, 568468, 60333, 712402, 0, 42687, 38648, 9197, 6077, 3370, 2265
60, 558865, 63475, 712402, 0, 45302, 42281, 9610, 6469, 3633, 2479
61, 549397, 66075, 712402, 0, 48080, 46142, 9475, 6875, 3861, 2707
62, 539523, 68683, 712402, 0, 50958, 50296, 9874, 7274, 4153, 2942
63, 529243, 71290, 712402, 0, 53922, 54748, 10280, 7680, 4453, 3199
64, 518593, 73905, 712402, 0, 56928, 59507, 10665, 8043, 4759, 3469
65, 507579, 76868, 712402, 0, 59685, 64515, 11028, 8057, 5008, 3754
66, 498539, 77538, 712402, 0, 62506, 69758, 9048, 8385, 5243, 4061
67, 489249, 78101, 712402, 0, 65370, 75308, 9297, 8741, 5550, 4374
68, 479739, 78571, 712402, 0, 68255, 81143, 9525, 9055, 5835, 4695
69, 470014, 79155, 712402, 0, 70927, 87269, 9739, 9154, 6127, 5037
70, 460119, 79903, 712402, 0, 73263, 93731, 9917, 9161, 6461, 5386
71, 450096, 80708, 712402, 0, 75394, 100456, 10038, 9233, 6725, 5749
72, 439965, 81485, 712402, 0, 77331, 107494, 10130, 9368, 7039, 6127
73, 429806, 82104, 712402, 0, 79148, 114832, 10173, 9553, 7338, 6511
74, 419619, 82553, 712402, 0, 80865, 122469, 10194, 9753, 7637, 6896
75, 409474, 82966, 712402, 0, 82290, 130362, 10180, 9753, 7893, 7309
76, 399387, 83123, 712402, 0, 83657, 138505, 10116, 9952, 8143, 7730
77, 389378, 83009, 712402, 0, 85125, 146741, 10031, 10145, 8235, 8150
78, 379461, 82646, 712402, 0, 86493, 155218, 9945, 10301, 8478, 8584
79, 369637, 82054, 712402, 0, 87754, 163938, 9845, 10437, 8720, 9019
80, 359913, 82076, 712402, 0, 88081, 172879, 9739, 9724, 8941, 9454
81, 350402, 81819, 712402, 0, 88402, 181890, 9546, 9788, 9012, 9888
82, 341084, 81335, 712402, 0, 88687, 190974, 9354, 9824, 9083, 10323
83, 331951, 80644, 712402, 0, 88929, 200114, 9161, 9845, 9140, 10764
84, 323039, 79739, 712402, 0, 89086, 209325, 8941, 9838, 9211, 11213
85, 314347, 78656, 712402, 0, 89107, 218622, 8720, 9796, 9297, 11669
86, 305884, 77417, 712402, 0, 88965, 228019, 8492, 9724, 9397, 12118
87, 297649, 76049, 712402, 0, 88730, 237408, 8257, 9625, 9389, 12567
