sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
1, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
2, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
3, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
4, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
5, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
6, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
7, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
8, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
9, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
10, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
11, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
12, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
13, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
14, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
15, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
16, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
17, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
18, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
19, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
20, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
21, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
22, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
23, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
24, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
25, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
26, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
27, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
28, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
29, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
30, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
31, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
32, 199023, 0, 199023, 0, 0, 0, 0, 0, 0, 0
33, 199021, 2, 199023, 0, 0, 0, 2, 0, 0, 0
34, 199019, 4, 199023, 0, 0, 0, 2, 0, 0, 0
35, 199017, 6, 199023, 0, 0, 0, 2, 0, 0, 0
