sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
1, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
2, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
3, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
4, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
5, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
6, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
7, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
8, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
9, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
10, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
11, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
12, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
13, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
14, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
15, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
16, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
17, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
18, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
19, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
20, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
21, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
22, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
23, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
24, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
25, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
26, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
27, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
28, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
29, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
30, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
31, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
32, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
33, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
34, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
35, 173170, 0, 173170, 0, 0, 0, 0, 0, 0, 0
36, 173168, 2, 173170, 0, 0, 0, 2, 0, 0, 0
37, 173167, 3, 173170, 0, 0, 0, 2, 0, 0, 0
38, 173165, 5, 173170, 0, 0, 0, 2, 0, 0, 0
39, 173163, 7, 173170, 0, 0, 0, 2, 0, 0, 0
40, 173160, 10, 173170, 0, 0, 0, 3, 0, 0, 0
41, 173154, 14, 173170, 0, 2, 0, 3, 2, 0, 0
42, 173147, 19, 173170, 0, 3, 0, 5, 2, 0, 0
43, 173139, 26, 173170, 0, 5, 0, 7, 2, 0, 0
44, 173130, 33, 173170, 0, 7, 0, 7, 2, 0, 0
45, 173118, 42, 173170, 0, 10, 0, 9, 3, 0, 0
46, 173104, 52, 173170, 0, 14, 0, 12, 3, 0, 0
47, 173087, 66, 173170, 0, 17, 0, 16, 3, 0, 0
48, 173068, 80, 173170, 0, 23, 0, 19, 5, 0, 0
49, 173044, 99, 173170, 0, 28, 0, 24, 5, 0, 0
50, 173012, 121, 173170, 0, 36, 0, 29, 9, 0, 0
51, 172973, 151, 173170, 0, 47, 0, 36, 10, 0, 0
52, 172929, 182, 173170, 0, 59, 0, 45, 12, 0, 0
53, 172874, 222, 173170, 0, 73, 2, 54, 16, 2, 0
54, 172812, 263, 173170, 0, 92, 3, 61, 21, 2, 0
55, 172739, 312, 173170, 0, 114, 5, 71, 24, 2, 0
56, 172652, 371, 173170, 0, 139, 9, 87, 28, 3, 0
57, 172547, 443, 173170, 0, 165, 16, 104, 33, 7, 0
58, 172424, 528, 173170, 0, 196, 23, 123, 38, 7, 0
59, 172313, 594, 173170, 0, 232, 31, 107, 45, 9, 0
60, 172192, 662, 173170, 0, 274, 43, 119, 54, 12, 0
61, 172050, 739, 173170, 0, 322, 59, 140, 64, 16, 0
62, 171885, 831, 173170, 0, 376, 78, 161, 73, 19, 0
63, 171696, 940, 173170, 0, 431, 102, 187, 80, 24, 0
64, 171483, 1065, 173170, 0, 488, 133, 213, 88, 31, 0
65, 171248, 1204, 173170, 0, 552, 166, 236, 97, 33, 0
66, 170981, 1358, 173170, 0, 625, 206, 265, 113, 40, 0
67, 170685, 1527, 173170, 0, 707, 251, 298, 126, 45, 0
68, 170347, 1721, 173170, 0, 804, 298, 336, 144, 47, 0
69, 169972, 1933, 173170, 0, 911, 355, 378, 165, 57, 0
70, 169591, 2128, 173170, 0, 1032, 419, 381, 185, 64, 0
71, 169172, 2334, 173170, 0, 1167, 495, 417, 213, 76, 2
72, 168720, 2549, 173170, 0, 1316, 580, 450, 237, 85, 5
73, 168214, 2802, 173170, 0, 1468, 675, 504, 253, 95, 10
74, 167655, 3086, 173170, 0, 1631, 783, 559, 275, 107, 16
75, 167036, 3405, 173170, 0, 1804, 902, 616, 300, 119, 23
76, 166441, 3669, 173170, 0, 1990, 1039, 596, 331, 137, 31
77, 165786, 3957, 173170, 0, 2201, 1186, 651, 367, 147, 40
78, 165073, 4267, 173170, 0, 2430, 1351, 713, 403, 165, 50
79, 164295, 4610, 173170, 0, 2669, 1536, 779, 435, 185, 61
80, 163447, 4989, 173170, 0, 2923, 1739, 849, 469, 203, 73
81, 162527, 5405, 173170, 0, 3186, 1967, 920, 504, 229, 85
82, 161533, 5848, 173170, 0, 3476, 2215, 994, 551, 248, 99
83, 160485, 6293, 173170, 0, 3785, 2492, 1046, 603, 277, 114
84, 159360, 6776, 173170, 0, 4104, 2797, 1129, 642, 305, 133
85, 158146, 7292, 173170, 0, 4450, 3127, 1214, 698, 331, 154
86, 156844, 7846, 173170, 0, 4823, 3481, 1302, 748, 353, 177
87, 155450, 8426, 173170, 0, 5228, 3865, 1394, 814, 384, 201
88, 154225, 8771, 173170, 0, 5663, 4284, 1223, 880, 419, 227
89, 152916, 9130, 173170, 0, 6128, 4738, 1307, 952, 454, 258
90, 151524, 9536, 173170, 0, 6589, 5230, 1396, 987, 492, 291
91, 150043, 9988, 173170, 0, 7048, 5765, 1482, 1030, 535, 326
92, 148483, 10487, 173170, 0, 7497, 6341, 1565, 1063, 577, 362
93, 146838, 11019, 173170, 0, 7945, 6968, 1645, 1115, 627, 400
94, 145120, 11564, 173170, 0, 8411, 7635, 1721, 1174, 667, 440
95, 143324, 12118, 173170, 0, 8892, 8354, 1798, 1243, 719, 481
96, 141450, 12678, 173170, 0, 9400, 9117, 1875, 1316, 764, 525
97, 139499, 13253, 173170, 0, 9912, 9933, 1952, 1378, 816, 573
98, 137478, 13817, 173170, 0, 10454, 10799, 2024, 1458, 866, 622
99, 135383, 14377, 173170, 0, 11015, 11722, 2099, 1538, 923, 674
100, 133213, 14932, 173170, 0, 11594, 12704, 2170, 1616, 982, 727
