sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
1, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
2, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
3, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
4, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
5, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
6, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
7, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
8, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
9, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
10, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
11, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
12, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
13, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
14, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
15, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
16, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
17, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
18, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
19, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
20, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
21, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
22, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
23, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
24, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
25, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
26, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
27, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
28, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
29, 507524, 0, 507524, 0, 0, 0, 0, 0, 0, 0
30, 507519, 5, 507524, 0, 0, 0, 5, 0, 0, 0
31, 507514, 10, 507524, 0, 0, 0, 5, 0, 0, 0
32, 507509, 15, 507524, 0, 0, 0, 5, 0, 0, 0
33, 507504, 20, 507524, 0, 0, 0, 5, 0, 0, 0
34, 507494, 30, 507524, 0, 0, 0, 10, 0, 0, 0
35, 507473, 46, 507524, 0, 5, 0, 15, 5, 0, 0
36, 507448, 66, 507524, 0, 10, 0, 20, 5, 0, 0
37, 507412, 96, 507524, 0, 15, 0, 30, 5, 0, 0
38, 507372, 132, 507524, 0, 20, 0, 36, 5, 0, 0
39, 507316, 178, 507524, 0, 30, 0, 51, 10, 0, 0
40, 507245, 233, 507524, 0, 46, 0, 66, 15, 0, 0
41, 507179, 284, 507524, 0, 61, 0, 66, 15, 0, 0
42, 507088, 355, 507524, 0, 81, 0, 86, 20, 0, 0
43, 506976, 442, 507524, 0, 107, 0, 112, 25, 0, 0
44, 506834, 543, 507524, 0, 147, 0, 142, 41, 0, 0
45, 506651, 680, 507524, 0, 193, 0, 183, 46, 0, 0
46, 506423, 853, 507524, 0, 249, 0, 228, 56, 0, 0
47, 506138, 1071, 507524, 0, 305, 10, 279, 66, 10, 0
48, 505793, 1325, 507524, 0, 386, 20, 340, 91, 10, 0
49, 505413, 1594, 507524, 0, 482, 36, 370, 112, 15, 0
50, 504956, 1913, 507524, 0, 604, 51, 452, 137, 15, 0
51, 504519, 2182, 507524, 0, 746, 76, 431, 167, 25, 0
52, 504002, 2502, 507524, 0, 903, 117, 518, 198, 41, 0
53, 503378, 2893, 507524, 0, 1096, 157, 619, 233, 41, 0
54, 502647, 3360, 507524, 0, 1304, 213, 731, 264, 56, 0
