sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
1, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
2, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
3, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
4, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
5, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
6, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
7, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
8, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
9, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
10, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
11, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
12, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
13, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
14, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
15, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
16, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
17, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
18, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
19, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
20, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
21, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
22, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
23, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
24, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
25, 155203, 0, 155203, 0, 0, 0, 0, 0, 0, 0
26, 155201, 2, 155203, 0, 0, 0, 2, 0, 0, 0
27, 155200, 3, 155203, 0, 0, 0, 2, 0, 0, 0
28, 155198, 5, 155203, 0, 0, 0, 2, 0, 0, 0
29, 155195, 8, 155203, 0, 0, 0, 3, 0, 0, 0
30, 155192, 11, 155203, 0, 0, 0, 3, 0, 0, 0
31, 155186, 16, 155203, 0, 2, 0, 5, 2, 0, 0
32, 155177, 23, 155203, 0, 3, 0, 8, 2, 0, 0
33, 155166, 33, 155203, 0, 5, 0, 9, 2, 0, 0
34, 155150, 45, 155203, 0, 8, 0, 12, 3, 0, 0
35, 155133, 59, 155203, 0, 11, 0, 17, 3, 0, 0
36, 155108, 79, 155203, 0, 16, 0, 23, 5, 0, 0
37, 155083, 98, 155203, 0, 22, 0, 23, 6, 0, 0
38, 155051, 123, 155203, 0, 29, 0, 31, 8, 0, 0
39, 155015, 149, 155203, 0, 39, 0, 36, 9, 0, 0
40, 154970, 182, 155203, 0, 51, 0, 45, 12, 0, 0
41, 154913, 223, 155203, 0, 67, 0, 56, 16, 0, 0
42, 154843, 275, 155203, 0, 85, 0, 70, 19, 0, 0
43, 154754, 340, 155203, 0, 106, 3, 85, 23, 3, 0
44, 154650, 414, 155203, 0, 132, 6, 102, 29, 3, 0
45, 154525, 506, 155203, 0, 161, 11, 124, 34, 5, 0
46, 154407, 582, 155203, 0, 196, 19, 116, 42, 8, 0
47, 154273, 663, 155203, 0, 241, 26, 132, 53, 8, 0
48, 154117, 757, 155203, 0, 290, 39, 157, 62, 12, 0
49, 153933, 869, 155203, 0, 346, 54, 182, 71, 16, 0
50, 153719, 1003, 155203, 0, 408, 73, 213, 81, 19, 0
51, 153472, 1159, 155203, 0, 472, 99, 248, 90, 26, 0
52, 153187, 1341, 155203, 0, 543, 132, 284, 104, 33, 0
53, 152870, 1538, 155203, 0, 625, 169, 314, 120, 37, 0
54, 152518, 1751, 155203, 0, 725, 210, 348, 140, 40, 0
55, 152121, 1985, 155203, 0, 840, 258, 399, 163, 48, 0
