sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
1, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
2, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
3, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
4, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
5, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
6, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
7, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
8, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
9, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
10, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
11, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
12, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
13, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
14, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
15, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
16, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
17, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
18, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
19, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
20, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
21, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
22, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
23, 168493, 0, 168493, 0, 0, 0, 0, 0, 0, 0
24, 168491, 2, 168493, 0, 0, 0, 2, 0, 0, 0
25, 168490, 3, 168493, 0, 0, 0, 2, 0, 0, 0
26, 168488, 5, 168493, 0, 0, 0, 2, 0, 0, 0
27, 168485, 8, 168493, 0, 0, 0, 3, 0, 0, 0
28, 168480, 13, 168493, 0, 0, 0, 5, 0, 0, 0
29, 168473, 19, 168493, 0, 2, 0, 5, 2, 0, 0
30, 168463, 27, 168493, 0, 3, 0, 8, 2, 0, 0
31, 168451, 37, 168493, 0, 5, 0, 10, 2, 0, 0
32, 168439, 45, 168493, 0, 8, 0, 10, 3, 0, 0
33, 168426, 56, 168493, 0, 12, 0, 13, 3, 0, 0
34, 168405, 71, 168493, 0, 17, 0, 19, 5, 0, 0
35, 168382, 89, 168493, 0, 22, 0, 24, 5, 0, 0
36, 168350, 115, 168493, 0, 29, 0, 30, 7, 0, 0
37, 168309, 147, 168493, 0, 37, 0, 37, 8, 0, 0
38, 168267, 177, 168493, 0, 49, 0, 42, 12, 0, 0
39, 168213, 216, 168493, 0, 64, 0, 52, 15, 0, 0
40, 168148, 263, 168493, 0, 83, 0, 66, 19, 0, 0
41, 168070, 317, 168493, 0, 104, 2, 76, 24, 2, 0
42, 167977, 382, 168493, 0, 128, 5, 93, 27, 3, 0
43, 167868, 460, 168493, 0, 155, 10, 111, 32, 5, 0
44, 167738, 551, 168493, 0, 187, 17, 130, 39, 7, 0
45, 167615, 627, 168493, 0, 226, 25, 123, 47, 8, 0
46, 167469, 716, 168493, 0, 271, 37, 145, 57, 12, 0
47, 167312, 805, 168493, 0, 325, 51, 157, 67, 13, 0
48, 167125, 915, 168493, 0, 386, 67, 184, 78, 17, 0
49, 166911, 1043, 168493, 0, 450, 89, 212, 86, 22, 0
50, 166667, 1191, 168493, 0, 514, 121, 246, 96, 32, 0
