sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 1605950, 0, 1605950, 0, 0, 0, 0, 0, 0, 0
1, 1605950, 0, 1605950, 0, 0, 0, 0, 0, 0, 0
2, 1605934, 16, 1605950, 0, 0, 0, 16, 0, 0, 0
3, 1605870, 80, 1605950, 0, 0, 0, 64, 0, 0, 0
4, 1605773, 177, 1605950, 0, 0, 0, 96, 0, 0, 0
5, 1605645, 305, 1605950, 0, 0, 0, 128, 0, 0, 0
6, 1605484, 450, 1605950, 0, 16, 0, 145, 16, 0, 0
7, 1605324, 578, 1605950, 0, 48, 0, 161, 32, 0, 0
8, 1605131, 723, 1605950, 0, 96, 0, 193, 48, 0, 0
9, 1604890, 899, 1605950, 0, 161, 0, 225, 64, 0, 0
10, 1604585, 1124, 1605950, 0, 241, 0, 273, 80, 0, 0
11, 1604232, 1381, 1605950, 0, 337, 0, 337, 96, 0, 0
12, 1603830, 1670, 1605950, 0, 450, 0, 401, 112, 0, 0
13, 1603364, 2007, 1605950, 0, 578, 0, 482, 128, 0, 0
14, 1602722, 2489, 1605950, 0, 739, 0, 626, 161, 0, 0
15, 1601999, 3019, 1605950, 0, 931, 0, 707, 193, 0, 0
16, 1601180, 3597, 1605950, 0, 1156, 16, 819, 241, 16, 0
17, 1600265, 4208, 1605950, 0, 1445, 32, 915, 305, 16, 0
18, 1599173, 4914, 1605950, 0, 1783, 80, 1092, 385, 48, 0
19, 1598193, 5444, 1605950, 0, 2152, 161, 980, 450, 80, 0
20, 1597037, 6087, 1605950, 0, 2570, 257, 1156, 514, 96, 0
21, 1595704, 6841, 1605950, 0, 3003, 401, 1333, 578, 145, 0
22, 1594146, 7741, 1605950, 0, 3469, 594, 1526, 658, 193, 0
23, 1592412, 8752, 1605950, 0, 3983, 803, 1734, 723, 209, 0
24, 1590533, 9812, 1605950, 0, 4529, 1076, 1879, 819, 273, 0
25, 1588413, 11017, 1605950, 0, 5123, 1397, 2120, 915, 321, 0
26, 1586052, 12350, 1605950, 0, 5781, 1767, 2345, 1028, 369, 0
27, 1583451, 13779, 1605950, 0, 6568, 2152, 2602, 1172, 385, 0
28, 1580496, 15401, 1605950, 0, 7452, 2602, 2939, 1333, 450, 0
29, 1577187, 17216, 1605950, 0, 8415, 3132, 3324, 1494, 530, 0
30, 1573847, 18886, 1605950, 0, 9475, 3742, 3340, 1670, 610, 0
31, 1570121, 20749, 1605950, 0, 10615, 4448, 3726, 1863, 707, 16
32, 1565962, 22788, 1605950, 0, 11932, 5219, 4143, 2120, 771, 48
33, 1561433, 25069, 1605950, 0, 13249, 6103, 4529, 2248, 883, 96
34, 1556455, 27606, 1605950, 0, 14662, 7082, 4995, 2441, 980, 145
35, 1550978, 30385, 1605950, 0, 16220, 8158, 5492, 2698, 1076, 209
36, 1545679, 32681, 1605950, 0, 17922, 9395, 5284, 3003, 1237, 273
37, 1539849, 35202, 1605950, 0, 19801, 10744, 5814, 3308, 1349, 353
38, 1533473, 37981, 1605950, 0, 21809, 12237, 6376, 3597, 1494, 450
39, 1526504, 41096, 1605950, 0, 23913, 13891, 6986, 3854, 1654, 546
40, 1518891, 44549, 1605950, 0, 26113, 15754, 7612, 4159, 1863, 642
41, 1510589, 48355, 1605950, 0, 28441, 17810, 8287, 4497, 2056, 755
