sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
1, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
2, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
3, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
4, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
5, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
6, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
7, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
8, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
9, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
10, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
11, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
12, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
13, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
14, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
15, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
16, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
17, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
18, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
19, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
20, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
21, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
22, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
23, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
24, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
25, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
26, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
27, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
28, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
29, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
30, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
31, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
32, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
33, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
34, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
35, 130964, 0, 130964, 0, 0, 0, 0, 0, 0, 0
36, 130963, 1, 130964, 0, 0, 0, 1, 0, 0, 0
37, 130961, 3, 130964, 0, 0, 0, 1, 0, 0, 0
38, 130960, 4, 130964, 0, 0, 0, 1, 0, 0, 0
39, 130959, 5, 130964, 0, 0, 0, 1, 0, 0, 0
40, 130956, 8, 130964, 0, 0, 0, 3, 0, 0, 0
41, 130952, 10, 130964, 0, 1, 0, 3, 1, 0, 0
42, 130947, 14, 130964, 0, 3, 0, 4, 1, 0, 0
