sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 619087, 0, 619087, 0, 0, 0, 0, 0, 0, 0
1, 619087, 0, 619087, 0, 0, 0, 0, 0, 0, 0
2, 619087, 0, 619087, 0, 0, 0, 0, 0, 0, 0
3, 619087, 0, 619087, 0, 0, 0, 0, 0, 0, 0
4, 619087, 0, 619087, 0, 0, 0, 0, 0, 0, 0
5, 619087, 0, 619087, 0, 0, 0, 0, 0, 0, 0
6, 619087, 0, 619087, 0, 0, 0, 0, 0, 0, 0
7, 619087, 0, 619087, 0, 0, 0, 0, 0, 0, 0
8, 619087, 0, 619087, 0, 0, 0, 0, 0, 0, 0
9, 619081, 6, 619087, 0, 0, 0, 6, 0, 0, 0
10, 619075, 12, 619087, 0, 0, 0, 6, 0, 0, 0
11, 619062, 25, 619087, 0, 0, 0, 12, 0, 0, 0
12, 619044, 43, 619087, 0, 0, 0, 19, 0, 0, 0
13, 619025, 62, 619087, 0, 0, 0, 19, 0, 0, 0
14, 618994, 87, 619087, 0, 6, 0, 25, 6, 0, 0
15, 618951, 124, 619087, 0, 12, 0, 37, 6, 0, 0
16, 618895, 167, 619087, 0, 25, 0, 50, 12, 0, 0
17, 618821, 229, 619087, 0, 37, 0, 68, 12, 0, 0
18, 618728, 303, 619087, 0, 56, 0, 87, 19, 0, 0
19, 618641, 365, 619087, 0, 80, 0, 80, 25, 0, 0
20, 618524, 452, 619087, 0, 111, 0, 105, 31, 0, 0
21, 618381, 557, 619087, 0, 149, 0, 136, 37, 0, 0
22, 618214, 681, 619087, 0, 192, 0, 167, 43, 0, 0
23, 618010, 830, 619087, 0, 248, 0, 204, 56, 0, 0
24, 617762, 1009, 619087, 0, 316, 0, 248, 68, 0, 0
25, 617459, 1226, 619087, 0, 402, 0, 297, 87, 0, 0
26, 617087, 1492, 619087, 0, 495, 12, 365, 105, 12, 0
27, 616654, 1802, 619087, 0, 601, 31, 433, 124, 19, 0
28, 616140, 2167, 619087, 0, 724, 56, 514, 149, 25, 0
29, 615663, 2458, 619087, 0, 879, 87, 471, 186, 31, 0
30, 615143, 2749, 619087, 0, 1065, 130, 514, 229, 43, 0
31, 614543, 3083, 619087, 0, 1275, 186, 607, 266, 56, 0
32, 613819, 3504, 619087, 0, 1504, 260, 712, 303, 74, 0
33, 612989, 4012, 619087, 0, 1733, 353, 823, 322, 93, 0
34, 612048, 4587, 619087, 0, 1981, 471, 941, 365, 118, 0
35, 610977, 5244, 619087, 0, 2260, 607, 1065, 415, 136, 0
36, 609838, 5900, 619087, 0, 2582, 768, 1139, 483, 161, 0
37, 608556, 6637, 619087, 0, 2959, 935, 1288, 545, 167, 0
38, 607089, 7472, 619087, 0, 3393, 1133, 1461, 631, 198, 0
39, 605597, 8252, 619087, 0, 3869, 1362, 1486, 712, 229, 6
40, 603926, 9119, 619087, 0, 4396, 1628, 1678, 805, 266, 19
41, 602025, 10110, 619087, 0, 4984, 1938, 1882, 910, 310, 31
42, 599914, 11212, 619087, 0, 5628, 2284, 2111, 1009, 347, 50
43, 597561, 12487, 619087, 0, 6271, 2693, 2353, 1077, 409, 74
44, 595271, 13595, 619087, 0, 6959, 3164, 2291, 1182, 471, 99
45, 592739, 14796, 619087, 0, 7763, 3659, 2526, 1331, 495, 130
46, 589953, 16096, 619087, 0, 8642, 4235, 2792, 1486, 576, 161
47, 586876, 17557, 619087, 0, 9602, 4854, 3077, 1616, 619, 198
48, 583483, 19179, 619087, 0, 10611, 5572, 3386, 1771, 718, 241
49, 579973, 20777, 619087, 0, 11670, 6383, 3510, 1913, 811, 285
50, 576129, 22547, 619087, 0, 12803, 7268, 3838, 2074, 885, 340
51, 571925, 24460, 619087, 0, 14053, 8246, 4179, 2291, 978, 402
52, 567381, 26497, 619087, 0, 15403, 9336, 4538, 2507, 1090, 471
53, 562465, 28744, 619087, 0, 16790, 10543, 4922, 2668, 1207, 545
54, 557160, 31140, 619087, 0, 18306, 11849, 5312, 2910, 1306, 631
55, 551439, 33691, 619087, 0, 19972, 13267, 5720, 3170, 1418, 718
56, 546233, 35424, 619087, 0, 21786, 14821, 5200, 3473, 1554, 823
57, 540649, 37244, 619087, 0, 23730, 16523, 5597, 3770, 1702, 941
58, 534668, 39269, 619087, 0, 25680, 18405, 6005, 3962, 1882, 1065
59, 528273, 41504, 619087, 0, 27673, 20442, 6408, 4166, 2037, 1195
60, 521469, 43930, 619087, 0, 29673, 22677, 6810, 4383, 2235, 1337
61, 514263, 46524, 619087, 0, 31716, 25098, 7206, 4618, 2421, 1486
62, 506679, 49199, 619087, 0, 33870, 27692, 7590, 4916, 2594, 1647
63, 498699, 52003, 619087, 0, 36062, 30509, 7992, 5182, 2817, 1814
64, 490763, 54443, 619087, 0, 38352, 33536, 7937, 5504, 3027, 1993
65, 482461, 56876, 619087, 0, 40798, 36774, 8314, 5875, 3238, 2179
66, 473763, 59358, 619087, 0, 43336, 40247, 8698, 6222, 3473, 2383
67, 464705, 61865, 619087, 0, 45967, 43949, 9076, 6556, 3702, 2600
68, 455289, 64410, 619087, 0, 48611, 47948, 9429, 6878, 3999, 2829
69, 445817, 66682, 619087, 0, 51298, 52220, 9472, 7206, 4272, 3071
70, 437843, 67431, 619087, 0, 53749, 56733, 7992, 7237, 4513, 3331
71, 429628, 68069, 619087, 0, 56318, 61469, 8215, 7590, 4736, 3603
72, 421221, 68632, 619087, 0, 58881, 66465, 8426, 7856, 4996, 3888
73, 412615, 69294, 619087, 0, 61271, 71721, 8624, 7955, 5256, 4185
74, 403855, 70087, 619087, 0, 63413, 77243, 8779, 7980, 5522, 4488
75, 394978, 70904, 619087, 0, 65382, 83026, 8896, 8073, 5782, 4798
76, 385995, 71690, 619087, 0, 67190, 89093, 8983, 8209, 6067, 5120
77, 376968, 72340, 619087, 0, 68886, 95438, 9039, 8389, 6346, 5454
78, 367917, 72984, 619087, 0, 70353, 102032, 9070, 8420, 6593, 5801
79, 358885, 73424, 619087, 0, 71777, 108842, 9045, 8612, 6810, 6160
80, 349889, 73640, 619087, 0, 73145, 115887, 9014, 8797, 7045, 6525
81, 340931, 73640, 619087, 0, 74470, 123149, 8971, 8977, 7262, 6897
82, 332041, 73418, 619087, 0, 75851, 130504, 8909, 9132, 7355, 7274
83, 323225, 73083, 619087, 0, 77021, 138106, 8841, 9169, 7602, 7652
84, 314521, 73170, 619087, 0, 77485, 145882, 8735, 8636, 7776, 8030
85, 305978, 73034, 619087, 0, 77900, 153763, 8568, 8698, 7881, 8413
86, 297601, 72675, 619087, 0, 78296, 161718, 8395, 8754, 7955, 8797
87, 289398, 72124, 619087, 0, 78630, 169741, 8221, 8772, 8023, 9193
88, 281369, 71393, 619087, 0, 78903, 177833, 8042, 8779, 8091, 9590
89, 273519, 70508, 619087, 0, 79057, 186017, 7856, 8754, 8184, 9986
90, 265867, 69486, 619087, 0, 79113, 194245, 7664, 8692, 8228, 10376
91, 258407, 68341, 619087, 0, 79020, 202553, 7466, 8624, 8308, 10766
92, 251170, 67072, 619087, 0, 78735, 210954, 7250, 8525, 8401, 11156
93, 244162, 65691, 619087, 0, 78271, 219417, 7027, 8407, 8463, 11546
94, 237389, 64212, 619087, 0, 77615, 227929, 6798, 8277, 8512, 11942
95, 230845, 62645, 619087, 0, 76847, 236411, 6562, 8135, 8481, 12338
96, 224549, 60980, 619087, 0, 76210, 244620, 6327, 7980, 8209, 12728
97, 218470, 59265, 619087, 0, 75405, 252848, 6104, 7813, 8228, 13100
98, 212601, 57513, 619087, 0, 74433, 261069, 5881, 7640, 8221, 13471
99, 206967, 55736, 619087, 0, 73288, 269253, 5652, 7429, 8184, 13843
100, 201562, 53929, 619087, 0, 72012, 277376, 5423, 7231, 8122, 14208
101, 196387, 52109, 619087, 0, 70601, 285424, 5194, 7014, 8048, 14567
102, 191440, 50257, 619087, 0, 69102, 293361, 4965, 6816, 7937, 14926
103, 186735, 48388, 619087, 0, 67505, 301180, 4736, 6593, 7819, 15279
104, 182234, 46518, 619087, 0, 65846, 308881, 4519, 6389, 7701, 15607
105, 177950, 44649, 619087, 0, 64113, 316446, 4309, 6172, 7565, 15929
106, 173871, 42804, 619087, 0, 62311, 323857, 4098, 5943, 7410, 16245
107, 169995, 40990, 619087, 0, 60429, 331112, 3900, 5708, 7256, 16561
108, 166312, 39213, 619087, 0, 58516, 338182, 3702, 5479, 7070, 16864
109, 162826, 37455, 619087, 0, 56578, 345073, 3510, 5262, 6890, 17155
110, 159514, 35734, 619087, 0, 54628, 351784, 3324, 5052, 6711, 17427
111, 156388, 34050, 619087, 0, 52672, 358278, 3145, 4829, 6494, 17700
112, 153416, 32422, 619087, 0, 50716, 364568, 2978, 4618, 6290, 17966
113, 150611, 30837, 619087, 0, 48759, 370654, 2817, 4408, 6086, 18226
114, 147355, 29896, 619087, 0, 46822, 376535, 3263, 4216, 5881, 18480
115, 144303, 28949, 619087, 0, 44902, 382218, 3064, 4018, 5683, 18715
116, 141338, 28082, 619087, 0, 43039, 387697, 2965, 3845, 5479, 18932
117, 138564, 27153, 619087, 0, 41256, 392972, 2786, 3715, 5275, 19142
118, 135952, 26156, 619087, 0, 39591, 398042, 2619, 3622, 5070, 19346
119, 133494, 25110, 619087, 0, 38037, 402902, 2470, 3516, 4860, 19545
120, 131185, 24045, 619087, 0, 36551, 407570, 2328, 3386, 4668, 19736
121, 128993, 23011, 619087, 0, 35102, 412064, 2192, 3238, 4495, 19916
122, 126826, 22095, 619087, 0, 33722, 416355, 2173, 3095, 4290, 20089
123, 124783, 21204, 619087, 0, 32366, 420472, 2049, 2947, 4117, 20263
124, 122858, 20356, 619087, 0, 31029, 424427, 1938, 2786, 3956, 20417
125, 121044, 19532, 619087, 0, 29729, 428216, 1826, 2650, 3789, 20566
126, 119341, 18715, 619087, 0, 28497, 431819, 1721, 2532, 3603, 20715
127, 117713, 17954, 619087, 0, 27277, 435280, 1628, 2402, 3461, 20863
128, 116196, 16988, 619087, 0, 26299, 438598, 1535, 2489, 3318, 21006
129, 114748, 16102, 619087, 0, 25302, 441787, 1455, 2340, 3188, 21148
130, 113380, 15230, 619087, 0, 24318, 444876, 1381, 2247, 3089, 21284
131, 112073, 14431, 619087, 0, 23309, 447860, 1306, 2111, 2984, 21414
132, 110835, 13676, 619087, 0, 22300, 450745, 1238, 2000, 2885, 21532
133, 109677, 12964, 619087, 0, 21309, 453500, 1170, 1876, 2755, 21637
134, 108557, 12307, 619087, 0, 20337, 456137, 1108, 1783, 2637, 21749
135, 107511, 11676, 619087, 0, 19421, 458644, 1046, 1684, 2507, 21835
136, 106520, 11038, 619087, 0, 18573, 461046, 991, 1634, 2402, 21909
137, 105591, 10432, 619087, 0, 17755, 463325, 935, 1542, 2278, 21984
138, 104706, 9868, 619087, 0, 16957, 465498, 885, 1455, 2173, 22058
139, 103864, 9336, 619087, 0, 16189, 467565, 842, 1381, 2068, 22132
140, 103078, 8841, 619087, 0, 15322, 469639, 799, 1288, 2074, 22207
141, 102329, 8376, 619087, 0, 14524, 471577, 749, 1220, 1938, 22281
142, 101623, 7931, 619087, 0, 13738, 473441, 706, 1158, 1863, 22355
143, 100961, 7491, 619087, 0, 13007, 475199, 662, 1108, 1758, 22430
144, 100335, 7076, 619087, 0, 12320, 476852, 625, 1046, 1653, 22504
145, 99760, 6668, 619087, 0, 11657, 478424, 588, 991, 1572, 22578
146, 99215, 6296, 619087, 0, 11014, 479910, 557, 922, 1486, 22652
147, 98707, 5931, 619087, 0, 10425, 481297, 520, 879, 1387, 22727
148, 98212, 5609, 619087, 0, 9825, 482640, 495, 823, 1343, 22801
149, 97754, 5293, 619087, 0, 9268, 483897, 464, 780, 1257, 22875
150, 97246, 5064, 619087, 0, 8754, 485073, 520, 743, 1176, 22950
151, 96763, 4854, 619087, 0, 8259, 486188, 489, 700, 1114, 23024
152, 96305, 4656, 619087, 0, 7788, 487246, 458, 656, 1059, 23092
153, 95878, 4451, 619087, 0, 7361, 488249, 433, 631, 1003, 23148
154, 95469, 4253, 619087, 0, 6989, 489190, 409, 607, 941, 23185
155, 95086, 4055, 619087, 0, 6643, 490100, 384, 582, 910, 23203
