sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
1, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
2, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
3, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
4, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
5, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
6, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
7, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
8, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
9, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
10, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
11, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
12, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
13, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
14, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
15, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
16, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
17, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
18, 169884, 0, 169884, 0, 0, 0, 0, 0, 0, 0
19, 169882, 2, 169884, 0, 0, 0, 2, 0, 0, 0
20, 169881, 3, 169884, 0, 0, 0, 2, 0, 0, 0
21, 169879, 5, 169884, 0, 0, 0, 2, 0, 0, 0
22, 169876, 8, 169884, 0, 0, 0, 3, 0, 0, 0
23, 169872, 12, 169884, 0, 0, 0, 3, 0, 0, 0
24, 169865, 17, 169884, 0, 2, 0, 5, 2, 0, 0
25, 169857, 24, 169884, 0, 3, 0, 7, 2, 0, 0
26, 169845, 34, 169884, 0, 5, 0, 10, 2, 0, 0
27, 169830, 46, 169884, 0, 8, 0, 12, 3, 0, 0
28, 169813, 59, 169884, 0, 12, 0, 15, 3, 0, 0
29, 169791, 76, 169884, 0, 17, 0, 20, 5, 0, 0
30, 169770, 92, 169884, 0, 22, 0, 20, 5, 0, 0
31, 169743, 112, 169884, 0, 29, 0, 25, 7, 0, 0
32, 169707, 139, 169884, 0, 37, 0, 32, 8, 0, 0
33, 169668, 166, 169884, 0, 49, 0, 39, 12, 0, 0
34, 169619, 200, 169884, 0, 65, 0, 49, 15, 0, 0
