sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 0.995, 0.005, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 0.995, 0.00483, 1.0, 0.0, 0.00017, 0.0, 0.0, 0.00017, 0.0, 0.0
2, 0.99492, 0.00432, 1.0, 0.0, 0.00076, 0.0, 8e-05, 0.00059, 0.0, 0.0
3, 0.99457, 0.00392, 1.0, 0.0, 0.0015, 1e-05, 0.00035, 0.00075, 1e-05, 0.0
4, 0.99412, 0.00376, 1.0, 0.0, 0.00208, 4e-05, 0.00044, 0.00061, 3e-05, 0.0
5, 0.99351, 0.00394, 1.0, 0.0, 0.00244, 0.00011, 0.00061, 0.00043, 7e-05, 0.0
6, 0.9928, 0.00432, 1.0, 0.0, 0.00266, 0.00022, 0.00071, 0.00033, 0.00011, 0.0
7, 0.99202, 0.0048, 1.0, 0.0, 0.00283, 0.00035, 0.00078, 0.0003, 0.00013, 0.0
8, 0.99119, 0.00531, 1.0, 0.0, 0.003, 0.0005, 0.00083, 0.00032, 0.00015, 0.0
9, 0.9903, 0.00584, 1.0, 0.0, 0.00319, 0.00067, 0.00088, 0.00036, 0.00017, 0.0
10, 0.98936, 0.00637, 1.0, 0.0, 0.00342, 0.00085, 0.00094, 0.00041, 0.00018, 0.0
11, 0.98834, 0.00694, 1.0, 0.0, 0.00368, 0.00104, 0.00102, 0.00045, 0.00019, 0.0
12, 0.98722, 0.00757, 1.0, 0.0, 0.00397, 0.00124, 0.0011, 0.00049, 0.0002, 0.0
13, 0.98602, 0.00648, 1.0, 0.0, 0.00597, 0.00153, 0.00119, 0.00229, 0.00029, 0.0
14, 0.98448, 0.00745, 1.0, 0.0, 0.006, 0.00206, 0.00153, 0.00057, 0.00053, 1e-05
15, 0.98292, 0.0084, 1.0, 0.0, 0.00601, 0.00265, 0.00155, 0.00061, 0.00059, 2e-05
16, 0.98136, 0.00925, 1.0, 0.0, 0.00606, 0.0033, 0.00156, 0.00071, 0.00065, 3e-05
17, 0.97977, 0.00996, 1.0, 0.0, 0.00638, 0.00385, 0.00159, 0.00088, 0.00055, 4e-05
18, 0.97807, 0.01067, 1.0, 0.0, 0.00684, 0.00437, 0.00168, 0.00099, 0.00052, 5e-05
19, 0.97624, 0.01137, 1.0, 0.0, 0.00745, 0.00488, 0.00182, 0.00113, 0.00051, 6e-05
20, 0.97424, 0.01217, 1.0, 0.0, 0.00809, 0.00542, 0.00199, 0.0012, 0.00054, 8e-05
21, 0.97207, 0.01307, 1.0, 0.0, 0.00872, 0.00603, 0.00217, 0.00127, 0.00061, 0.00011
22, 0.96973, 0.01407, 1.0, 0.0, 0.00936, 0.00669, 0.00235, 0.00134, 0.00066, 0.00015
23, 0.96719, 0.01518, 1.0, 0.0, 0.01003, 0.0074, 0.00253, 0.00143, 0.00071, 0.0002
24, 0.96491, 0.01591, 1.0, 0.0, 0.01078, 0.00815, 0.00227, 0.00155, 0.00075, 0.00025
25, 0.96246, 0.01669, 1.0, 0.0, 0.01083, 0.00972, 0.00245, 0.00168, 0.00157, 0.0003
26, 0.95996, 0.01741, 1.0, 0.0, 0.01172, 0.01056, 0.00249, 0.00178, 0.00084, 0.00035
27, 0.95724, 0.01826, 1.0, 0.0, 0.01263, 0.01147, 0.00271, 0.00187, 0.00091, 0.0004
28, 0.95431, 0.01915, 1.0, 0.0, 0.01361, 0.01247, 0.00293, 0.00204, 0.001, 0.00046
29, 0.95114, 0.02022, 1.0, 0.0, 0.0145, 0.01362, 0.00317, 0.0021, 0.00115, 0.00052
30, 0.94776, 0.02144, 1.0, 0.0, 0.01535, 0.01486, 0.00339, 0.00216, 0.00124, 0.00059
31, 0.94416, 0.02278, 1.0, 0.0, 0.0162, 0.0162, 0.0036, 0.00226, 0.00134, 0.00066
32, 0.94035, 0.02422, 1.0, 0.0, 0.01707, 0.01763, 0.00382, 0.00237, 0.00143, 0.00073
33, 0.93629, 0.02573, 1.0, 0.0, 0.01804, 0.01913, 0.00404, 0.00255, 0.0015, 0.00081
34, 0.93198, 0.02729, 1.0, 0.0, 0.01914, 0.0207, 0.00429, 0.00275, 0.00157, 0.00089
35, 0.92741, 0.0289, 1.0, 0.0, 0.02035, 0.02236, 0.00456, 0.00296, 0.00166, 0.00098
36, 0.92255, 0.03059, 1.0, 0.0, 0.02165, 0.02414, 0.00486, 0.00317, 0.00178, 0.00107
37, 0.91737, 0.03241, 1.0, 0.0, 0.023, 0.02604, 0.00518, 0.00336, 0.0019, 0.00118
38, 0.91185, 0.03451, 1.0, 0.0, 0.02429, 0.02805, 0.00551, 0.00342, 0.00201, 0.0013
39, 0.90603, 0.03668, 1.0, 0.0, 0.02569, 0.03016, 0.00582, 0.00365, 0.00211, 0.00144
40, 0.89988, 0.03899, 1.0, 0.0, 0.02711, 0.03244, 0.00616, 0.00384, 0.00228, 0.00158
