sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 3104758, 15602, 3120360, 0, 0, 0, 0, 0, 0, 0
1, 3104758, 15071, 3120360, 0, 530, 0, 0, 530, 0, 0
2, 3104509, 13480, 3120360, 0, 2371, 0, 250, 1841, 0, 0
3, 3103416, 12232, 3120360, 0, 4681, 31, 1092, 2340, 31, 0
4, 3102012, 11733, 3120360, 0, 6490, 125, 1373, 1903, 94, 0
5, 3100109, 12294, 3120360, 0, 7614, 343, 1903, 1342, 218, 0
6, 3097893, 13480, 3120360, 0, 8300, 686, 2215, 1030, 343, 0
7, 3095460, 14978, 3120360, 0, 8831, 1092, 2434, 936, 406, 0
8, 3092870, 16569, 3120360, 0, 9361, 1560, 2590, 999, 468, 0
9, 3090093, 18223, 3120360, 0, 9954, 2091, 2746, 1123, 530, 0
10, 3087159, 19877, 3120360, 0, 10672, 2652, 2933, 1279, 562, 0
11, 3083977, 21655, 3120360, 0, 11483, 3245, 3183, 1404, 593, 0
12, 3080482, 23621, 3120360, 0, 12388, 3869, 3432, 1529, 624, 0
13, 3076737, 20220, 3120360, 0, 18629, 4774, 3713, 7146, 905, 0
14, 3071932, 23247, 3120360, 0, 18722, 6428, 4774, 1779, 1654, 31
15, 3067064, 26211, 3120360, 0, 18753, 8269, 4837, 1903, 1841, 62
16, 3062196, 28863, 3120360, 0, 18909, 10297, 4868, 2215, 2028, 94
17, 3057235, 31079, 3120360, 0, 19908, 12013, 4961, 2746, 1716, 125
18, 3051931, 33294, 3120360, 0, 21343, 13636, 5242, 3089, 1623, 156
19, 3046220, 35478, 3120360, 0, 23247, 15227, 5679, 3526, 1591, 187
20, 3039980, 37975, 3120360, 0, 25244, 16912, 6210, 3744, 1685, 250
21, 3033208, 40783, 3120360, 0, 27210, 18816, 6771, 3963, 1903, 343
22, 3025907, 43903, 3120360, 0, 29207, 20875, 7333, 4181, 2059, 468
23, 3017981, 47367, 3120360, 0, 31297, 23091, 7895, 4462, 2215, 624
24, 3010867, 49645, 3120360, 0, 33637, 25431, 7083, 4837, 2340, 780
25, 3003222, 52079, 3120360, 0, 33793, 30330, 7645, 5242, 4899, 936
26, 2995421, 54325, 3120360, 0, 36571, 32951, 7770, 5554, 2621, 1092
27, 2986933, 56978, 3120360, 0, 39410, 35791, 8456, 5835, 2840, 1248
28, 2977791, 59755, 3120360, 0, 42468, 38911, 9143, 6366, 3120, 1435
29, 2967899, 63094, 3120360, 0, 45245, 42499, 9892, 6553, 3588, 1623
30, 2957352, 66901, 3120360, 0, 47898, 46369, 10578, 6740, 3869, 1841
31, 2946119, 71082, 3120360, 0, 50550, 50550, 11233, 7052, 4181, 2059
32, 2934231, 75575, 3120360, 0, 53265, 55012, 11920, 7395, 4462, 2278
33, 2921562, 80287, 3120360, 0, 56291, 59692, 12606, 7957, 4681, 2527
34, 2908113, 85155, 3120360, 0, 59724, 64591, 13386, 8581, 4899, 2777
35, 2893853, 90178, 3120360, 0, 63499, 69771, 14229, 9236, 5180, 3058
36, 2878688, 95452, 3120360, 0, 67556, 75325, 15165, 9892, 5554, 3339
37, 2862525, 101131, 3120360, 0, 71768, 81254, 16163, 10484, 5929, 3682
38, 2845300, 107684, 3120360, 0, 75794, 87526, 17193, 10672, 6272, 4056
39, 2827140, 114455, 3120360, 0, 80162, 94110, 18160, 11389, 6584, 4493
40, 2807950, 121663, 3120360, 0, 84593, 101224, 19221, 11982, 7114, 4930
41, 2787574, 129214, 3120360, 0, 89523, 108651, 20282, 12825, 7426, 5398
42, 2766074, 137046, 3120360, 0, 95046, 116296, 21437, 13698, 7645, 5897
43, 2747789, 140791, 3120360, 0, 100912, 124471, 18254, 14572, 8175, 6397
44, 2728380, 144754, 3120360, 0, 107216, 133083, 19377, 15477, 8612, 6927
45, 2707817, 149091, 3120360, 0, 113737, 142257, 20532, 16257, 9174, 7458
46, 2686099, 154146, 3120360, 0, 120009, 152086, 21749, 16694, 9829, 8019
47, 2663165, 160168, 3120360, 0, 125782, 162602, 22903, 16944, 10516, 8643
48, 2639263, 166658, 3120360, 0, 131430, 173710, 23996, 17443, 11108, 9299
49, 2614269, 173554, 3120360, 0, 137046, 185505, 25025, 18129, 11795, 9985
50, 2588245, 180606, 3120360, 0, 143131, 197706, 26024, 19003, 12201, 10672
51, 2561254, 187658, 3120360, 0, 149496, 210562, 27054, 19970, 12856, 11389
52, 2533171, 194866, 3120360, 0, 156174, 224011, 28146, 20906, 13449, 12138
53, 2503995, 202199, 3120360, 0, 163101, 238146, 29238, 21874, 14135, 12918
