sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
3, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
4, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
5, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
6, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
7, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
8, 0.99999, 1e-05, 1.0, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0
9, 0.99998, 2e-05, 1.0, 0.0, 0.0, 0.0, 1e-05, 0.0, 0.0, 0.0
10, 0.99996, 4e-05, 1.0, 0.0, 0.0, 0.0, 2e-05, 0.0, 0.0, 0.0
11, 0.99993, 7e-05, 1.0, 0.0, 0.0, 0.0, 3e-05, 0.0, 0.0, 0.0
12, 0.99989, 0.00011, 1.0, 0.0, 0.0, 0.0, 4e-05, 0.0, 0.0, 0.0
13, 0.99983, 0.00016, 1.0, 0.0, 1e-05, 0.0, 5e-05, 1e-05, 0.0, 0.0
14, 0.99975, 0.00023, 1.0, 0.0, 2e-05, 0.0, 7e-05, 1e-05, 0.0, 0.0
15, 0.99964, 0.00032, 1.0, 0.0, 4e-05, 0.0, 0.0001, 2e-05, 0.0, 0.0
16, 0.99951, 0.00043, 1.0, 0.0, 6e-05, 0.0, 0.00013, 2e-05, 0.0, 0.0
17, 0.99939, 0.00052, 1.0, 0.0, 9e-05, 0.0, 0.00012, 3e-05, 0.0, 0.0
18, 0.99922, 0.00065, 1.0, 0.0, 0.00013, 0.0, 0.00016, 4e-05, 0.0, 0.0
19, 0.99902, 0.0008, 1.0, 0.0, 0.00018, 0.0, 0.0002, 5e-05, 0.0, 0.0
