sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
1, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
2, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
3, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
4, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
5, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
6, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
7, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
8, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
9, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
10, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
11, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
12, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
13, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
14, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
15, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
16, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
17, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
18, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
19, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
20, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
21, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
22, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
23, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
24, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
25, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
26, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
27, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
28, 211498, 0, 211498, 0, 0, 0, 0, 0, 0, 0
29, 211496, 2, 211498, 0, 0, 0, 2, 0, 0, 0
30, 211494, 4, 211498, 0, 0, 0, 2, 0, 0, 0
31, 211492, 6, 211498, 0, 0, 0, 2, 0, 0, 0
32, 211487, 11, 211498, 0, 0, 0, 4, 0, 0, 0
33, 211481, 17, 211498, 0, 0, 0, 6, 0, 0, 0
34, 211473, 23, 211498, 0, 2, 0, 6, 2, 0, 0
35, 211460, 34, 211498, 0, 4, 0, 11, 2, 0, 0
36, 211443, 49, 211498, 0, 6, 0, 15, 2, 0, 0
37, 211422, 66, 211498, 0, 11, 0, 19, 4, 0, 0
38, 211396, 87, 211498, 0, 15, 0, 25, 4, 0, 0
39, 211367, 110, 211498, 0, 21, 0, 27, 6, 0, 0
40, 211329, 140, 211498, 0, 30, 0, 36, 8, 0, 0
41, 211280, 178, 211498, 0, 40, 0, 44, 11, 0, 0
42, 211223, 220, 211498, 0, 55, 0, 57, 15, 0, 0
43, 211151, 273, 211498, 0, 74, 0, 72, 19, 0, 0
44, 211060, 343, 211498, 0, 95, 0, 91, 21, 0, 0
45, 210944, 431, 211498, 0, 123, 0, 114, 27, 0, 0
46, 210809, 531, 211498, 0, 154, 4, 133, 36, 4, 0
47, 210644, 651, 211498, 0, 192, 11, 163, 44, 6, 0
48, 210443, 797, 211498, 0, 241, 17, 199, 55, 6, 0
49, 210263, 912, 211498, 0, 296, 27, 180, 66, 11, 0
50, 210045, 1047, 211498, 0, 368, 38, 216, 82, 11, 0
51, 209787, 1208, 211498, 0, 448, 55, 256, 97, 17, 0
52, 209478, 1404, 211498, 0, 537, 78, 305, 112, 23, 0
53, 209117, 1641, 211498, 0, 628, 112, 357, 125, 34, 0
54, 208710, 1903, 211498, 0, 730, 154, 404, 144, 42, 0
55, 208241, 2206, 211498, 0, 848, 203, 467, 167, 49, 0
56, 207721, 2527, 211498, 0, 992, 258, 520, 199, 55, 0
57, 207122, 2898, 211498, 0, 1157, 321, 599, 228, 63, 0
58, 206492, 3261, 211498, 0, 1354, 389, 624, 266, 68, 2
59, 205773, 3672, 211498, 0, 1571, 476, 717, 309, 87, 6
60, 204956, 4137, 211498, 0, 1815, 577, 818, 351, 102, 13
61, 204043, 4655, 211498, 0, 2083, 698, 916, 396, 121, 19
62, 203004, 5245, 211498, 0, 2381, 840, 1036, 448, 142, 27
63, 201968, 5795, 211498, 0, 2694, 1003, 1034, 486, 163, 38
64, 200845, 6362, 211498, 0, 3056, 1187, 1123, 556, 184, 49
65, 199586, 6998, 211498, 0, 3454, 1398, 1258, 622, 211, 61
66, 198180, 7718, 211498, 0, 3885, 1639, 1404, 687, 241, 76
67, 196640, 8502, 211498, 0, 4353, 1910, 1533, 755, 271, 93
68, 194944, 9369, 211498, 0, 4850, 2221, 1698, 829, 311, 114
69, 193081, 10315, 211498, 0, 5391, 2574, 1868, 918, 353, 137
70, 191033, 11347, 211498, 0, 5990, 2965, 2045, 1015, 391, 163
71, 188840, 12417, 211498, 0, 6639, 3409, 2193, 1123, 444, 192
72, 186801, 13229, 211498, 0, 7335, 3908, 2037, 1227, 499, 224
73, 184591, 14084, 211498, 0, 8105, 4456, 2212, 1356, 548, 262
74, 182191, 15006, 211498, 0, 8934, 5063, 2401, 1480, 607, 305
75, 179598, 16021, 211498, 0, 9799, 5729, 2593, 1580, 666, 351
76, 176810, 17131, 211498, 0, 10676, 6478, 2788, 1679, 749, 402
77, 173911, 18282, 211498, 0, 11546, 7305, 2902, 1751, 827, 455
78, 170829, 19494, 211498, 0, 12453, 8208, 3084, 1872, 903, 514
79, 167570, 20737, 211498, 0, 13420, 9198, 3263, 2018, 990, 573
80, 164190, 21949, 211498, 0, 14441, 10277, 3384, 2170, 1079, 641
81, 160635, 23191, 211498, 0, 15513, 11448, 3557, 2316, 1172, 711
82, 156912, 24436, 211498, 0, 16645, 12717, 3727, 2479, 1269, 787
83, 153021, 25689, 211498, 0, 17823, 14096, 3892, 2642, 1379, 869
84, 149842, 26067, 211498, 0, 19054, 15577, 3179, 2802, 1480, 958
85, 146530, 26422, 211498, 0, 20306, 17184, 3310, 2961, 1607, 1055
86, 143100, 26877, 211498, 0, 21448, 18914, 3433, 2980, 1730, 1159
87, 139572, 27368, 211498, 0, 22525, 20767, 3534, 3041, 1853, 1267
88, 135959, 27907, 211498, 0, 23527, 22728, 3617, 3077, 1961, 1377
89, 132281, 28453, 211498, 0, 24483, 24788, 3678, 3137, 2060, 1493
90, 128563, 28956, 211498, 0, 25407, 26960, 3724, 3219, 2172, 1612
91, 124818, 29419, 211498, 0, 26272, 29250, 3752, 3287, 2291, 1739
92, 121059, 29792, 211498, 0, 27112, 31668, 3765, 3390, 2417, 1868
93, 117301, 30069, 211498, 0, 27933, 34189, 3763, 3488, 2521, 2007
94, 113555, 30263, 211498, 0, 28702, 36828, 3754, 3557, 2639, 2149
95, 109831, 30350, 211498, 0, 29441, 39586, 3729, 3644, 2758, 2291
96, 106138, 30329, 211498, 0, 30132, 42462, 3697, 3720, 2876, 2436
97, 102492, 30198, 211498, 0, 30777, 45447, 3653, 3784, 2984, 2585
98, 98896, 30261, 211498, 0, 31126, 48473, 3600, 3538, 3027, 2741
99, 95379, 30204, 211498, 0, 31452, 51565, 3519, 3581, 3092, 2898
100, 91953, 30031, 211498, 0, 31761, 54700, 3435, 3608, 3134, 3054
101, 89692, 28675, 211498, 0, 32038, 57881, 2269, 3625, 3181, 3213
102, 87469, 27283, 211498, 0, 32251, 61119, 2231, 3623, 3238, 3376
103, 85287, 25900, 211498, 0, 32378, 64395, 2191, 3574, 3276, 3538
104, 83146, 24631, 211498, 0, 32296, 67728, 2149, 3418, 3333, 3697
105, 81059, 23500, 211498, 0, 31966, 71116, 2094, 3227, 3388, 3858
106, 79035, 22465, 211498, 0, 31448, 74534, 2030, 3067, 3418, 4016
107, 77087, 21480, 211498, 0, 30779, 77975, 1958, 2942, 3441, 4177
108, 75213, 20513, 211498, 0, 30022, 81418, 1884, 2849, 3443, 4331
109, 73415, 19555, 211498, 0, 29191, 84855, 1808, 2764, 3437, 4482
110, 71689, 18597, 211498, 0, 28449, 88133, 1730, 2692, 3278, 4630
111, 70042, 17633, 211498, 0, 27670, 91382, 1658, 2620, 3249, 4771
112, 68464, 16668, 211498, 0, 26860, 94599, 1588, 2551, 3217, 4907
113, 66958, 15716, 211498, 0, 26008, 97776, 1519, 2466, 3177, 5040
114, 65516, 14784, 211498, 0, 25126, 100901, 1449, 2384, 3126, 5171
115, 64145, 14234, 211498, 0, 23868, 103953, 1379, 1929, 3052, 5298
116, 62849, 13669, 211498, 0, 22685, 106876, 1301, 1870, 2923, 5419
117, 61626, 13092, 211498, 0, 21585, 109664, 1227, 1808, 2788, 5531
118, 60472, 12504, 211498, 0, 20566, 112320, 1159, 1749, 2656, 5636
119, 59382, 11918, 211498, 0, 19614, 114846, 1096, 1681, 2525, 5738
120, 58354, 11338, 211498, 0, 18692, 117278, 1034, 1614, 2432, 5835
121, 57384, 10778, 211498, 0, 17791, 119615, 977, 1538, 2337, 5930
122, 56466, 10230, 211498, 0, 16913, 121867, 924, 1472, 2252, 6021
123, 55599, 9708, 211498, 0, 16055, 124033, 871, 1396, 2166, 6104
124, 54784, 9198, 211498, 0, 15217, 126116, 821, 1330, 2083, 6182
125, 54014, 8707, 211498, 0, 14411, 128106, 772, 1267, 1990, 6258
126, 52760, 8762, 211498, 0, 13633, 130012, 1258, 1206, 1906, 6330
127, 51595, 8788, 211498, 0, 13037, 131679, 1170, 1144, 1667, 6400
128, 50472, 8813, 211498, 0, 12466, 133280, 1125, 1102, 1601, 6468
129, 49425, 8756, 211498, 0, 11967, 134819, 1053, 1108, 1540, 6531
130, 48367, 8697, 211498, 0, 11541, 136302, 1062, 1121, 1483, 6590
131, 47354, 8591, 211498, 0, 11186, 137719, 1013, 1123, 1417, 6647
132, 46405, 8441, 211498, 0, 10869, 139079, 954, 1104, 1360, 6704
133, 45506, 8261, 211498, 0, 10583, 140386, 901, 1083, 1307, 6762
134, 44658, 8067, 211498, 0, 10308, 141647, 852, 1047, 1261, 6819
135, 43858, 7859, 211498, 0, 10048, 142858, 808, 1011, 1212, 6874
136, 43097, 7660, 211498, 0, 9792, 144024, 766, 964, 1165, 6924
137, 42369, 7474, 211498, 0, 9532, 145151, 728, 916, 1127, 6971
138, 41678, 7290, 211498, 0, 9281, 146234, 692, 878, 1083, 7015
139, 41022, 7115, 211498, 0, 9016, 147285, 658, 833, 1051, 7060
140, 40398, 6766, 211498, 0, 8925, 148305, 624, 975, 1019, 7104
141, 39795, 6453, 211498, 0, 8786, 149315, 605, 918, 1011, 7149
142, 39216, 6157, 211498, 0, 8612, 150320, 580, 878, 1005, 7193
143, 38662, 5888, 211498, 0, 8396, 151314, 554, 825, 994, 7237
144, 38135, 5609, 211498, 0, 8185, 152291, 529, 808, 977, 7278
145, 37634, 5338, 211498, 0, 7965, 153245, 505, 774, 954, 7316
146, 37152, 5089, 211498, 0, 7734, 154169, 482, 734, 924, 7354
147, 36689, 4858, 211498, 0, 7485, 155072, 461, 696, 903, 7394
148, 36253, 4634, 211498, 0, 7237, 155937, 438, 662, 865, 7436
149, 35836, 4420, 211498, 0, 6996, 156773, 417, 632, 835, 7472
150, 35439, 4219, 211498, 0, 6762, 157572, 398, 601, 799, 7506
151, 35066, 4021, 211498, 0, 6533, 158344, 379, 573, 772, 7534
152, 34709, 3834, 211498, 0, 6231, 159165, 360, 546, 821, 7559
153, 34371, 3655, 211498, 0, 5945, 159943, 341, 520, 778, 7584
154, 34049, 3483, 211498, 0, 5670, 160686, 324, 495, 742, 7610
155, 33747, 3314, 211498, 0, 5414, 161388, 305, 474, 702, 7635
156, 33457, 3153, 211498, 0, 5163, 162065, 290, 453, 677, 7660
157, 33184, 2999, 211498, 0, 4915, 162714, 275, 429, 649, 7686
158, 32926, 2849, 211498, 0, 4685, 163327, 258, 410, 613, 7711
159, 32683, 2703, 211498, 0, 4463, 163913, 245, 391, 586, 7737
160, 32450, 2568, 211498, 0, 4247, 164471, 233, 370, 558, 7762
161, 32232, 2432, 211498, 0, 4044, 165002, 220, 355, 531, 7787
162, 32029, 2303, 211498, 0, 3839, 165514, 207, 334, 512, 7813
163, 31837, 2181, 211498, 0, 3648, 165994, 197, 317, 480, 7838
164, 31653, 2064, 211498, 0, 3466, 166451, 186, 302, 457, 7863
165, 31479, 1954, 211498, 0, 3291, 166885, 176, 286, 434, 7889
166, 31314, 1853, 211498, 0, 3124, 167293, 167, 269, 408, 7914
167, 31128, 1783, 211498, 0, 2963, 167684, 190, 258, 391, 7940
168, 30951, 1717, 211498, 0, 2811, 168054, 180, 245, 370, 7965
169, 30781, 1658, 211498, 0, 2665, 168407, 169, 228, 353, 7986
170, 30623, 1595, 211498, 0, 2530, 168748, 161, 222, 341, 8003
171, 30471, 1533, 211498, 0, 2409, 169067, 152, 214, 319, 8018
172, 30322, 1474, 211498, 0, 2301, 169372, 146, 207, 305, 8028
