sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2, 0.99998, 2e-05, 1.0, 0.0, 0.0, 0.0, 2e-05, 0.0, 0.0, 0.0
3, 0.99991, 9e-05, 1.0, 0.0, 0.0, 0.0, 7e-05, 0.0, 0.0, 0.0
4, 0.99982, 0.00018, 1.0, 0.0, 0.0, 0.0, 9e-05, 0.0, 0.0, 0.0
5, 0.9997, 0.0003, 1.0, 0.0, 0.0, 0.0, 0.00012, 0.0, 0.0, 0.0
6, 0.99954, 0.00044, 1.0, 0.0, 2e-05, 0.0, 0.00015, 2e-05, 0.0, 0.0
7, 0.99936, 0.00059, 1.0, 0.0, 5e-05, 0.0, 0.00017, 3e-05, 0.0, 0.0
8, 0.99916, 0.00074, 1.0, 0.0, 0.0001, 0.0, 0.00019, 5e-05, 0.0, 0.0
9, 0.99894, 0.0009, 1.0, 0.0, 0.00016, 0.0, 0.00023, 6e-05, 0.0, 0.0
10, 0.99867, 0.00109, 1.0, 0.0, 0.00024, 0.0, 0.00027, 8e-05, 0.0, 0.0
11, 0.99834, 0.00133, 1.0, 0.0, 0.00033, 0.0, 0.00033, 9e-05, 0.0, 0.0
12, 0.99795, 0.00161, 1.0, 0.0, 0.00044, 0.0, 0.00039, 0.00011, 0.0, 0.0
13, 0.99746, 0.00197, 1.0, 0.0, 0.00056, 1e-05, 0.00047, 0.00013, 1e-05, 0.0
14, 0.99685, 0.00242, 1.0, 0.0, 0.00071, 2e-05, 0.0006, 0.00016, 1e-05, 0.0
15, 0.99617, 0.00291, 1.0, 0.0, 0.00088, 4e-05, 0.00068, 0.00019, 2e-05, 0.0
16, 0.99539, 0.00345, 1.0, 0.0, 0.0011, 6e-05, 0.00078, 0.00024, 2e-05, 0.0
17, 0.99469, 0.00385, 1.0, 0.0, 0.00137, 9e-05, 0.00069, 0.0003, 3e-05, 0.0
18, 0.99389, 0.00429, 1.0, 0.0, 0.00167, 0.00015, 0.0008, 0.00036, 6e-05, 0.0
