sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 1225800, 0, 1225800, 0, 0, 0, 0, 0, 0, 0
1, 1225800, 0, 1225800, 0, 0, 0, 0, 0, 0, 0
2, 1225775, 25, 1225800, 0, 0, 0, 25, 0, 0, 0
3, 1225690, 110, 1225800, 0, 0, 0, 86, 0, 0, 0
4, 1225579, 221, 1225800, 0, 0, 0, 110, 0, 0, 0
5, 1225432, 368, 1225800, 0, 0, 0, 147, 0, 0, 0
6, 1225236, 539, 1225800, 0, 25, 0, 184, 25, 0, 0
7, 1225015, 723, 1225800, 0, 61, 0, 208, 37, 0, 0
8, 1224770, 907, 1225800, 0, 123, 0, 233, 61, 0, 0
9, 1224501, 1103, 1225800, 0, 196, 0, 282, 74, 0, 0
10, 1224170, 1336, 1225800, 0, 294, 0, 331, 98, 0, 0
11, 1223765, 1630, 1225800, 0, 405, 0, 405, 110, 0, 0
12, 1223287, 1974, 1225800, 0, 539, 0, 478, 135, 0, 0
13, 1222686, 2415, 1225800, 0, 686, 12, 576, 159, 12, 0
14, 1221939, 2966, 1225800, 0, 870, 25, 735, 196, 12, 0
15, 1221105, 3567, 1225800, 0, 1079, 49, 834, 233, 25, 0
16, 1220149, 4229, 1225800, 0, 1348, 74, 956, 294, 25, 0
17, 1219291, 4719, 1225800, 0, 1679, 110, 846, 368, 37, 0
18, 1218310, 5259, 1225800, 0, 2047, 184, 981, 441, 74, 0
19, 1217158, 5896, 1225800, 0, 2464, 282, 1140, 515, 98, 0
20, 1215822, 6656, 1225800, 0, 2893, 429, 1324, 576, 147, 0
21, 1214277, 7563, 1225800, 0, 3346, 613, 1520, 637, 184, 0
22, 1212549, 8605, 1225800, 0, 3812, 834, 1728, 686, 221, 0
23, 1210600, 9757, 1225800, 0, 4339, 1103, 1937, 797, 270, 0
24, 1208528, 10922, 1225800, 0, 4928, 1422, 2072, 907, 319, 0
25, 1206199, 12221, 1225800, 0, 5626, 1753, 2329, 1030, 331, 0
26, 1203613, 13643, 1225800, 0, 6423, 2121, 2599, 1165, 368, 0
27, 1201002, 14955, 1225800, 0, 7294, 2550, 2611, 1299, 429, 0
28, 1198060, 16401, 1225800, 0, 8262, 3064, 2930, 1495, 515, 12
29, 1194738, 18056, 1225800, 0, 9316, 3653, 3285, 1667, 588, 37
30, 1191061, 19907, 1225800, 0, 10432, 4327, 3665, 1826, 674, 74
31, 1187003, 22040, 1225800, 0, 11559, 5087, 4057, 1925, 760, 110
32, 1182529, 24393, 1225800, 0, 12761, 5957, 4462, 2121, 870, 159
33, 1178276, 26293, 1225800, 0, 14084, 6926, 4241, 2354, 968, 221
34, 1173618, 28328, 1225800, 0, 15617, 7955, 4646, 2623, 1030, 282
35, 1168543, 30510, 1225800, 0, 17259, 9132, 5099, 2893, 1177, 355
36, 1162953, 32962, 1225800, 0, 19012, 10444, 5602, 3138, 1312, 429
37, 1156824, 35708, 1225800, 0, 20851, 11903, 6129, 3383, 1459, 515
38, 1150156, 38784, 1225800, 0, 22726, 13533, 6668, 3592, 1630, 601
39, 1142899, 42118, 1225800, 0, 24810, 15273, 7232, 3923, 1741, 699
40, 1135030, 45698, 1225800, 0, 27004, 17259, 7833, 4290, 1986, 809
41, 1126584, 49547, 1225800, 0, 29309, 19417, 8458, 4597, 2157, 944
42, 1117439, 53666, 1225800, 0, 31822, 21782, 9120, 5026, 2366, 1091
43, 1107903, 57711, 1225800, 0, 34653, 24283, 9537, 5492, 2501, 1250
44, 1097581, 62050, 1225800, 0, 37730, 27017, 10297, 5982, 2734, 1422
45, 1088412, 64722, 1225800, 0, 41040, 30020, 9181, 6497, 3003, 1606
46, 1078520, 67627, 1225800, 0, 44521, 33305, 9892, 6999, 3285, 1826
47, 1067929, 70974, 1225800, 0, 47966, 36872, 10628, 7257, 3567, 2059
48, 1056640, 74700, 1225800, 0, 51373, 40770, 11326, 7575, 3898, 2317
49, 1044651, 78807, 1225800, 0, 54806, 44962, 12013, 7894, 4192, 2574
50, 1031964, 83195, 1225800, 0, 58336, 49449, 12699, 8311, 4486, 2856
51, 1018579, 87816, 1225800, 0, 62001, 54266, 13398, 8777, 4817, 3138
52, 1004470, 92621, 1225800, 0, 65776, 59488, 14097, 9316, 5222, 3444
53, 989674, 97500, 1225800, 0, 69809, 65041, 14808, 9929, 5553, 3775
54, 974168, 102489, 1225800, 0, 74026, 70998, 15519, 10530, 5957, 4119
55, 957926, 107552, 1225800, 0, 78427, 77422, 16242, 11192, 6423, 4474
56, 940998, 112639, 1225800, 0, 83036, 84261, 16941, 11853, 6840, 4866
57, 923334, 117885, 1225800, 0, 87718, 91592, 17652, 12430, 7330, 5271
58, 905033, 123034, 1225800, 0, 92634, 99388, 18301, 13165, 7796, 5712
59, 886094, 128758, 1225800, 0, 97181, 107588, 18951, 13226, 8201, 6178
60, 866616, 134299, 1225800, 0, 102048, 116194, 19515, 13950, 8605, 6644
61, 851428, 134875, 1225800, 0, 107123, 125203, 15200, 14636, 9010, 7171
62, 835750, 135267, 1225800, 0, 112418, 134654, 15702, 15310, 9451, 7710
63, 819558, 135659, 1225800, 0, 117701, 144608, 16205, 15825, 9953, 8274
64, 802924, 136444, 1225800, 0, 122482, 155100, 16671, 15874, 10493, 8850
65, 785873, 137743, 1225800, 0, 126552, 166182, 17063, 15776, 11081, 9451
66, 768540, 139312, 1225800, 0, 130057, 177815, 17345, 15788, 11633, 10076
67, 751023, 140844, 1225800, 0, 133183, 190024, 17541, 16009, 12209, 10726
68, 733335, 142254, 1225800, 0, 136150, 202674, 17688, 16303, 12650, 11388
69, 715598, 143345, 1225800, 0, 139042, 215765, 17774, 16671, 13092, 12050
70, 697811, 144130, 1225800, 0, 141727, 229372, 17811, 17039, 13606, 12761
71, 680074, 144497, 1225800, 0, 144644, 243113, 17786, 17406, 13741, 13472
72, 662373, 144485, 1225800, 0, 147378, 257357, 17750, 17750, 14244, 14207
73, 644783, 144056, 1225800, 0, 149964, 272042, 17652, 18056, 14685, 14955
74, 627291, 143296, 1225800, 0, 152342, 287168, 17517, 18289, 15126, 15702
75, 609983, 143835, 1225800, 0, 152845, 302687, 17333, 16806, 15519, 16450
76, 593018, 143848, 1225800, 0, 153360, 318365, 17002, 16990, 15678, 17210
77, 576396, 143357, 1225800, 0, 153997, 334080, 16671, 17149, 15715, 17970
78, 560080, 142462, 1225800, 0, 154671, 349831, 16352, 17247, 15752, 18755
79, 544096, 141212, 1225800, 0, 155284, 365681, 16009, 17272, 15850, 19527
80, 528479, 139631, 1225800, 0, 155652, 381726, 15666, 17235, 16046, 20312
81, 513242, 137755, 1225800, 0, 155738, 397980, 15261, 17149, 16254, 21084
82, 498410, 135598, 1225800, 0, 155566, 414369, 14857, 17026, 16389, 21856
83, 484007, 133183, 1225800, 0, 155039, 430942, 14440, 16855, 16573, 22628
84, 470021, 130560, 1225800, 0, 154157, 447662, 13999, 16646, 16720, 23401
85, 456525, 127704, 1225800, 0, 152955, 464431, 13557, 16401, 16769, 24185
86, 443470, 124652, 1225800, 0, 151460, 481249, 13104, 16156, 16818, 24970
87, 430881, 121428, 1225800, 0, 150418, 497332, 12650, 15850, 16082, 25742
88, 418721, 118106, 1225800, 0, 149008, 513488, 12221, 15519, 16156, 26477
89, 406978, 114698, 1225800, 0, 147268, 529644, 11792, 15188, 16156, 27213
90, 395688, 111229, 1225800, 0, 145184, 545751, 11351, 14795, 16107, 27948
91, 384815, 107748, 1225800, 0, 142793, 561772, 10910, 14391, 16021, 28671
92, 374372, 104230, 1225800, 0, 140146, 577671, 10456, 13999, 15899, 29382
93, 364381, 100650, 1225800, 0, 137290, 593385, 10027, 13606, 15715, 30093
94, 354845, 97047, 1225800, 0, 134237, 608879, 9586, 13177, 15494, 30792
95, 345737, 93430, 1225800, 0, 131014, 624165, 9157, 12761, 15286, 31454
96, 337034, 89827, 1225800, 0, 127667, 639181, 8740, 12344, 15016, 32091
97, 328735, 86247, 1225800, 0, 124210, 653878, 8335, 11915, 14697, 32729
98, 320878, 82692, 1225800, 0, 120582, 668294, 7931, 11449, 14415, 33354
99, 313351, 79223, 1225800, 0, 116917, 682354, 7539, 11032, 14060, 33955
100, 306217, 75803, 1225800, 0, 113154, 696071, 7159, 10591, 13717, 34555
101, 299438, 72433, 1225800, 0, 109390, 709432, 6803, 10186, 13361, 35107
102, 293027, 69123, 1225800, 0, 105603, 722401, 6448, 9757, 12969, 35646
103, 286948, 65899, 1225800, 0, 101815, 734965, 6104, 9341, 12564, 36173
104, 281199, 62761, 1225800, 0, 98052, 747101, 5786, 8924, 12135, 36688
105, 275756, 59696, 1225800, 0, 94289, 758868, 5479, 8544, 11768, 37191
106, 269578, 57772, 1225800, 0, 90525, 770256, 6215, 8139, 11388, 37669
107, 263768, 55860, 1225800, 0, 86811, 781239, 5847, 7759, 10983, 38122
108, 258031, 54205, 1225800, 0, 83195, 791818, 5749, 7416, 10579, 38551
109, 252552, 52526, 1225800, 0, 79738, 802016, 5516, 7183, 10199, 38968
110, 247403, 50699, 1225800, 0, 76514, 811811, 5185, 6999, 9794, 39373
111, 242365, 48983, 1225800, 0, 73450, 821237, 5063, 6779, 9426, 39765
