sim_time, S, E, VD1, VD2, I, R, New_E, New_I, New_R, D
0, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
1, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
2, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
3, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
4, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
5, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
6, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
7, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
8, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
9, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
10, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
11, 188937, 0, 188937, 0, 0, 0, 0, 0, 0, 0
12, 188935, 2, 188937, 0, 0, 0, 2, 0, 0, 0
13, 188933, 4, 188937, 0, 0, 0, 2, 0, 0, 0
14, 188931, 6, 188937, 0, 0, 0, 2, 0, 0, 0
15, 188928, 9, 188937, 0, 0, 0, 4, 0, 0, 0
16, 188922, 15, 188937, 0, 0, 0, 6, 0, 0, 0
17, 188912, 23, 188937, 0, 2, 0, 8, 2, 0, 0
18, 188901, 32, 188937, 0, 4, 0, 9, 2, 0, 0
19, 188884, 47, 188937, 0, 6, 0, 15, 2, 0, 0
20, 188863, 64, 188937, 0, 9, 0, 19, 4, 0, 0
21, 188839, 85, 188937, 0, 13, 0, 25, 4, 0, 0
22, 188809, 110, 188937, 0, 19, 0, 30, 6, 0, 0
23, 188776, 134, 188937, 0, 26, 0, 30, 8, 0, 0
24, 188739, 161, 188937, 0, 38, 0, 38, 11, 0, 0
25, 188689, 196, 188937, 0, 51, 0, 49, 13, 0, 0
26, 188627, 242, 188937, 0, 68, 0, 62, 17, 0, 0
27, 188552, 297, 188937, 0, 89, 0, 74, 21, 0, 0
28, 188459, 365, 188937, 0, 113, 0, 91, 25, 0, 0
29, 188344, 448, 188937, 0, 142, 4, 111, 32, 4, 0
30, 188211, 542, 188937, 0, 174, 9, 134, 38, 6, 0
31, 188051, 658, 188937, 0, 213, 15, 161, 45, 6, 0
32, 187896, 758, 188937, 0, 259, 25, 153, 55, 9, 0
33, 187722, 862, 188937, 0, 317, 36, 172, 70, 11, 0
34, 187518, 984, 188937, 0, 384, 51, 204, 81, 15, 0
35, 187276, 1134, 188937, 0, 455, 72, 242, 93, 21, 0
36, 186993, 1313, 188937, 0, 531, 100, 283, 104, 28, 0
37, 186672, 1519, 188937, 0, 612, 134, 323, 115, 34, 0
38, 186299, 1757, 188937, 0, 705, 176, 370, 134, 42, 0
39, 185895, 2003, 188937, 0, 816, 223, 402, 159, 47, 0
40, 185436, 2279, 188937, 0, 948, 274, 461, 183, 51, 0
41, 184952, 2551, 188937, 0, 1100, 334, 482, 212, 60, 0
42, 184399, 2862, 188937, 0, 1266, 408, 552, 242, 74, 2
43, 183785, 3201, 188937, 0, 1455, 491, 614, 276, 83, 6
44, 183086, 3590, 188937, 0, 1661, 589, 697, 310, 98, 11
45, 182298, 4030, 188937, 0, 1886, 707, 786, 348, 117, 17
46, 181417, 4533, 188937, 0, 2126, 837, 882, 378, 130, 25
47, 180539, 4988, 188937, 0, 2390, 986, 877, 423, 149, 34
48, 179562, 5485, 188937, 0, 2692, 1154, 977, 480, 168, 43
49, 178476, 6031, 188937, 0, 3032, 1343, 1086, 540, 189, 55
50, 177264, 6643, 188937, 0, 3401, 1561, 1209, 599, 217, 68
51, 175983, 7272, 188937, 0, 3792, 1806, 1277, 652, 246, 83
52, 174572, 7964, 188937, 0, 4219, 2080, 1409, 720, 274, 102
53, 173025, 8719, 188937, 0, 4678, 2392, 1549, 792, 312, 123
54, 171358, 9515, 188937, 0, 5179, 2740, 1665, 871, 348, 145
55, 169539, 10393, 188937, 0, 5706, 3127, 1819, 941, 387, 172
56, 167848, 11049, 188937, 0, 6282, 3560, 1689, 1035, 433, 198
57, 166017, 11748, 188937, 0, 6909, 4032, 1835, 1132, 472, 231
58, 164035, 12494, 188937, 0, 7595, 4548, 1984, 1236, 516, 265
59, 161896, 13318, 188937, 0, 8294, 5124, 2143, 1317, 576, 304
60, 159599, 14221, 188937, 0, 9012, 5761, 2301, 1396, 637, 344
61, 157145, 15223, 188937, 0, 9709, 6471, 2458, 1455, 710, 389
62, 154537, 16264, 188937, 0, 10452, 7246, 2609, 1568, 775, 438
63, 151775, 17341, 188937, 0, 11246, 8085, 2762, 1687, 839, 491
64, 148860, 18440, 188937, 0, 12096, 8993, 2921, 1818, 909, 548
65, 145780, 19587, 188937, 0, 12976, 9987, 3082, 1935, 994, 606
66, 142676, 20615, 188937, 0, 13919, 11057, 3102, 2078, 1069, 671
67, 139428, 21639, 188937, 0, 14922, 12209, 3252, 2226, 1153, 739
68, 136095, 22612, 188937, 0, 15958, 13460, 3333, 2362, 1251, 812
69, 133316, 22895, 188937, 0, 17033, 14801, 2783, 2498, 1341, 892
70, 130416, 23269, 188937, 0, 18026, 16247, 2900, 2530, 1445, 979
71, 127419, 23638, 188937, 0, 19018, 17790, 2998, 2632, 1544, 1071
72, 124334, 24050, 188937, 0, 19954, 19432, 3089, 2677, 1642, 1168
73, 121171, 24509, 188937, 0, 20832, 21157, 3165, 2707, 1725, 1268
74, 117951, 24979, 188937, 0, 21639, 22996, 3225, 2753, 1838, 1372
75, 114683, 25429, 188937, 0, 22414, 24932, 3270, 2823, 1937, 1479
76, 111380, 25835, 188937, 0, 23160, 26971, 3303, 2900, 2039, 1591
77, 108063, 26168, 188937, 0, 23895, 29108, 3320, 2989, 2137, 1704
78, 104739, 26419, 188937, 0, 24605, 31348, 3329, 3078, 2241, 1825
79, 101419, 26585, 188937, 0, 25287, 33695, 3327, 3159, 2347, 1950
80, 98113, 26701, 188937, 0, 25911, 36136, 3314, 3197, 2441, 2076
81, 94829, 26727, 188937, 0, 26502, 38675, 3288, 3263, 2539, 2203
82, 91582, 26676, 188937, 0, 27078, 41266, 3252, 3305, 2590, 2335
83, 88375, 26769, 188937, 0, 27388, 43934, 3210, 3119, 2668, 2471
84, 85235, 26753, 188937, 0, 27683, 46656, 3144, 3161, 2723, 2609
85, 82167, 26642, 188937, 0, 27959, 49424, 3076, 3185, 2768, 2745
86, 79166, 26446, 188937, 0, 28225, 52217, 3006, 3204, 2792, 2883
87, 76244, 26164, 188937, 0, 28448, 55060, 2932, 3212, 2844, 3021
88, 74315, 24902, 188937, 0, 28598, 57956, 1937, 3199, 2896, 3167
